client_id,process_step,Variation,time_diff_seconds
54893,1,Test,3.0
55059,1,Test,10.0
55265,1,Test,10.0
55333,1,Test,3.0
55448,1,Control,40.0
56294,1,Test,13.0
56570,1,Test,95.0
56782,1,Control,71.0
56923,1,Test,27.0
58001,1,Control,55.0
58194,1,Test,7.0
58456,1,Control,53.0
58589,1,Control,38.0
58676,1,Control,61.00000000000001
58867,1,Test,7.0
58917,1,Control,67.0
58962,1,Test,8.0
59089,1,Control,51.0
59152,1,Test,7.0
59605,1,Control,37.0
59782,1,Control,75.0
59802,1,Test,24.0
59860,1,Control,45.0
60101,1,Test,8.0
60483,1,Test,7.0
60802,1,Test,25.0
60958,1,Test,31.000000000000004
61007,1,Test,125.0
61487,1,Test,26.0
61650,1,Test,145.0
61961,1,Test,20.0
62058,1,Control,0.0
62284,1,Test,107.0
62498,1,Control,0.0
62503,1,Control,143.0
62754,1,Test,115.00000000000001
62791,1,Test,13.0
62805,1,Test,8.0
62837,1,Control,35.0
63001,1,Control,3.0
63377,1,Control,16.0
63507,1,Test,4.0
63879,1,Test,119.0
63955,1,Test,13.0
64020,1,Control,125.00000000000001
64058,1,Test,16.0
64871,1,Control,11.0
64885,1,Test,14.0
64964,1,Control,34.0
65221,1,Test,10.0
65716,1,Control,58.00000000000001
65845,1,Control,153.0
66160,1,Test,7.0
66169,1,Control,46.00000000000001
66539,1,Test,7.0
66543,1,Control,27.0
66930,1,Test,9.0
67390,1,Test,124.0
67452,1,Test,40.0
67845,1,Test,42.0
67925,1,Test,107.0
68116,1,Control,0.0
68170,1,Control,54.0
68276,1,Test,10.0
68830,1,Control,11.0
68854,1,Control,36.0
68886,1,Test,5.0
68963,1,Control,80.0
69255,1,Control,0.0
69568,1,Test,33.0
69591,1,Test,0.0
69598,1,Control,12.0
70225,1,Control,5.0
70863,1,Test,0.0
71159,1,Test,21.0
71476,1,Control,0.0
71626,1,Control,38.0
72074,1,Test,56.0
72388,1,Test,10.0
72395,1,Test,12.0
72915,1,Test,4.0
72916,1,Test,4.0
72988,1,Test,0.0
73331,1,Control,9.0
73335,1,Control,99.0
73615,1,Test,8.0
73648,1,Test,12.0
73910,1,Control,9.0
74169,1,Control,56.0
74564,1,Test,10.0
74976,1,Test,46.0
75033,1,Test,21.0
75381,1,Control,10.0
75490,1,Test,4.0
75642,1,Control,88.0
76424,1,Control,19.0
76429,1,Test,10.0
76635,1,Test,81.0
76775,1,Test,13.0
76776,1,Control,49.0
77276,1,Test,3.0
77513,1,Test,20.0
77933,1,Test,5.0
78720,1,Test,0.0
78728,1,Control,7.0
78917,1,Control,38.0
79127,1,Control,125.0
79229,1,Control,15.000000000000002
79452,1,Test,9.0
79571,1,Control,19.0
79679,1,Control,42.0
79819,1,Control,108.0
79897,1,Test,160.0
80006,1,Test,82.0
80126,1,Test,13.0
80127,1,Control,51.0
80241,1,Control,88.0
80479,1,Test,42.0
80559,1,Control,20.0
80801,1,Test,82.0
80915,1,Control,6.0
81102,1,Control,33.0
81119,1,Test,11.0
81601,1,Control,39.0
81816,1,Control,8.0
81976,1,Control,49.0
82206,1,Test,12.0
82376,1,Control,103.0
82560,1,Test,124.0
82566,1,Control,35.0
82723,1,Control,43.0
82772,1,Test,17.0
82869,1,Control,6.0
83158,1,Control,23.0
83447,1,Control,44.0
83507,1,Test,5.0
83585,1,Test,6.0
83683,1,Control,0.0
84108,1,Control,13.0
84464,1,Test,16.0
84480,1,Control,97.0
84596,1,Test,53.0
84624,1,Control,24.0
84658,1,Test,21.0
84976,1,Test,133.0
85286,1,Control,137.0
85793,1,Control,20.0
86035,1,Test,15.000000000000002
86499,1,Control,15.000000000000002
86616,1,Control,40.0
86699,1,Control,7.0
86780,1,Test,17.0
86877,1,Test,63.0
87162,1,Control,44.0
87218,1,Control,30.0
87300,1,Control,36.0
87424,1,Test,7.0
87449,1,Test,7.0
87915,1,Test,82.0
88378,1,Control,29.000000000000004
88723,1,Control,42.0
88759,1,Control,77.0
88986,1,Test,10.0
89039,1,Test,140.0
89052,1,Control,29.000000000000004
89116,1,Control,14.0
89604,1,Test,8.0
89645,1,Control,21.0
89693,1,Test,13.0
89812,1,Test,82.0
89959,1,Test,148.0
90324,1,Test,51.0
90360,1,Test,12.0
90383,1,Test,0.0
90596,1,Control,19.0
91110,1,Test,36.0
91254,1,Test,13.0
91443,1,Test,127.00000000000001
91633,1,Test,47.0
92066,1,Test,27.0
92137,1,Test,9.0
92665,1,Test,150.0
92808,1,Control,27.0
92864,1,Test,4.0
93137,1,Test,16.0
93370,1,Test,14.0
93480,1,Test,9.0
93870,1,Test,18.0
94234,1,Test,8.0
94510,1,Control,18.0
94552,1,Test,30.0
94662,1,Test,58.0
94767,1,Test,15.000000000000002
94778,1,Control,101.0
94914,1,Test,0.0
95199,1,Test,13.0
95453,1,Test,16.0
96190,1,Test,12.0
96548,1,Control,43.0
96845,1,Control,44.0
97170,1,Control,38.0
97322,1,Control,0.0
97424,1,Test,9.0
97590,1,Test,33.0
97723,1,Control,10.0
98248,1,Test,20.0
98337,1,Test,4.0
98860,1,Control,3.0
99149,1,Control,31.0
99208,1,Test,94.0
99811,1,Control,138.0
100118,1,Test,142.0
100250,1,Test,8.0
100503,1,Control,163.0
100888,1,Control,29.000000000000004
100940,1,Test,113.0
101220,1,Test,25.0
101246,1,Control,29.000000000000004
101818,1,Control,16.0
102859,1,Control,99.0
103515,1,Control,16.0
103622,1,Test,50.0
103627,1,Test,15.000000000000002
103669,1,Test,27.0
104328,1,Control,32.0
104643,1,Test,0.0
104781,1,Control,11.0
104972,1,Test,5.0
105007,1,Control,0.0
105026,1,Control,134.0
105357,1,Control,54.0
105360,1,Control,42.0
105623,1,Control,125.0
106102,1,Test,0.0
106501,1,Test,18.0
108419,1,Test,117.0
108892,1,Test,9.0
109413,1,Control,17.0
109465,1,Control,3.0
109859,1,Control,59.00000000000001
109932,1,Control,125.0
110028,1,Test,71.0
110212,1,Test,150.0
110288,1,Test,13.0
110772,1,Test,102.0
110890,1,Control,44.0
111012,1,Control,50.0
111162,1,Test,12.0
111477,1,Control,4.0
112128,1,Control,9.0
112766,1,Test,130.0
113852,1,Test,14.0
113903,1,Test,26.0
113951,1,Test,23.0
114541,1,Control,8.0
114542,1,Test,7.0
114566,1,Control,18.0
114780,1,Control,0.0
115163,1,Test,10.0
115570,1,Test,2.0
115597,1,Control,13.0
115839,1,Test,0.0
115973,1,Control,7.0
116248,1,Test,4.0
116384,1,Test,12.0
116682,1,Control,0.0
116693,1,Control,5.0
117276,1,Test,10.0
117457,1,Test,9.0
117520,1,Test,19.0
117621,1,Control,8.0
117883,1,Control,156.0
117916,1,Test,88.0
117979,1,Control,7.0
118358,1,Control,25.0
118415,1,Control,32.0
118446,1,Test,90.00000000000001
118576,1,Test,73.0
118723,1,Control,95.0
118964,1,Control,116.0
118966,1,Test,57.0
119599,1,Test,8.0
119634,1,Test,98.0
120309,1,Control,22.0
120351,1,Test,9.0
120660,1,Test,6.0
120830,1,Test,83.0
120872,1,Control,90.0
121029,1,Test,12.0
121238,1,Test,112.0
121354,1,Test,10.0
121536,1,Test,127.0
121672,1,Test,104.0
122093,1,Test,4.0
122493,1,Control,40.0
122790,1,Test,7.0
123141,1,Control,5.0
123311,1,Test,31.0
123552,1,Control,10.0
123853,1,Test,98.0
124118,1,Control,12.0
124572,1,Control,44.0
124614,1,Test,11.0
124624,1,Control,11.0
124646,1,Test,10.0
124916,1,Control,7.0
125022,1,Control,26.0
125273,1,Control,0.0
125305,1,Control,7.0
125679,1,Control,11.0
125750,1,Test,10.0
126090,1,Control,60.0
126171,1,Control,63.00000000000001
126259,1,Test,10.0
126285,1,Control,60.0
126288,1,Test,12.0
126309,1,Control,5.0
126524,1,Test,32.0
126758,1,Test,123.00000000000001
126759,1,Control,68.0
126853,1,Test,109.0
126893,1,Control,0.0
127331,1,Test,121.0
127396,1,Test,7.0
127477,1,Control,21.0
127825,1,Test,13.0
128147,1,Control,13.0
128230,1,Test,19.0
128801,1,Control,139.0
128983,1,Control,10.0
129549,1,Control,40.0
129659,1,Control,13.0
130031,1,Control,13.0
130452,1,Test,62.0
132547,1,Control,15.000000000000002
133096,1,Test,145.0
133101,1,Control,24.0
133340,1,Test,13.0
133471,1,Control,7.0
133487,1,Control,43.0
133565,1,Control,0.0
133631,1,Control,17.0
133742,1,Test,40.0
133779,1,Test,160.0
134164,1,Test,0.0
134207,1,Control,11.0
134282,1,Test,14.0
134286,1,Control,62.00000000000001
134657,1,Control,82.0
134829,1,Control,38.0
135199,1,Control,12.0
135254,1,Test,161.0
135842,1,Control,5.0
135917,1,Test,40.0
135969,1,Test,8.0
136138,1,Control,28.0
136873,1,Test,0.0
136978,1,Test,11.0
136986,1,Control,31.000000000000004
137016,1,Test,3.0
137061,1,Test,127.00000000000001
137412,1,Test,6.0
137555,1,Test,12.0
137781,1,Test,37.0
137816,1,Test,11.0
137933,1,Test,0.0
138002,1,Test,6.0
138093,1,Control,22.0
138395,1,Control,126.0
138686,1,Control,11.0
138741,1,Test,9.0
139079,1,Control,30.000000000000004
139872,1,Test,6.0
139979,1,Test,62.0
139996,1,Test,136.0
140020,1,Test,39.0
140116,1,Control,10.0
140488,1,Control,22.0
140489,1,Control,21.0
140683,1,Test,8.0
140690,1,Control,27.0
141417,1,Test,7.0
141643,1,Test,7.0
142351,1,Test,99.0
142579,1,Control,85.0
142667,1,Control,0.0
142695,1,Test,34.0
142725,1,Control,14.0
143218,1,Control,9.0
143267,1,Test,4.0
143271,1,Test,9.0
143610,1,Control,15.000000000000002
143691,1,Control,91.0
144169,1,Control,66.0
144244,1,Control,9.0
144678,1,Control,44.0
144773,1,Control,5.0
145106,1,Test,33.0
145810,1,Test,130.0
146205,1,Control,5.0
146317,1,Control,71.0
146390,1,Test,3.0
146579,1,Test,51.0
146603,1,Control,36.0
147033,1,Control,19.0
147077,1,Control,55.0
147316,1,Control,79.0
148037,1,Control,46.0
148076,1,Control,0.0
148099,1,Control,17.0
